,San Diego Padres, 5, @,  Colorado Rockies, 7,     Boxscore,
, New York Yankees, 8, @,  Detroit Tigers, 6,     Boxscore,
,Toronto Blue Jays, 3, @,  Kansas City Royals, 11,     Boxscore,
,Pittsburgh Pirates, 0, @,  Milwaukee Brewers, 1,     Boxscore,
,Tampa Bay Rays, 3, @,  Minnesota Twins, 8,     Boxscore,
, Florida Marlins, 4, @,  New York Mets, 3,     Boxscore,
, Washington Nationals, 4, @,  Philadelphia Phillies, 1,     Boxscore,
,Los Angeles Dodgers, 4, @,  San Francisco Giants, 9,     Boxscore,
, Florida Marlins, 8, @,  Chicago Cubs, 2,     Boxscore,
,Toronto Blue Jays, 6, @,  Kansas City Royals, 8,     Boxscore,
,San Diego Padres, 5, @,  Los Angeles Dodgers, 8,     Boxscore,
,Arizona D'Backs, 1, @,  Milwaukee Brewers, 4,     Boxscore,
,LA Angels of Anaheim, 4, @,  New York Yankees, 7,     Boxscore,
,Boston Red Sox, 0, @,  Tampa Bay Rays, 13,     Boxscore,
, Oakland Athletics, 4, @,  Texas Rangers, 2,     Boxscore,
, St. Louis Cardinals, 9, @,  Washington Nationals, 4,     Boxscore,
,Houston Astros, 2, @,  Atlanta Braves, 7,     Boxscore,
,Florida Marlins, 6, @,  Chicago Cubs, 8,     Boxscore,
, Cleveland Indians, 6, @,  Detroit Tigers, 5,     Boxscore,
,San Diego Padres, 0, @,  Los Angeles Dodgers, 1,     Boxscore,
, Arizona D'Backs, 5, @,  Milwaukee Brewers, 2,     Boxscore,
,Kansas City Royals, 5, @,  Minnesota Twins, 7,     Boxscore,
,LA Angels of Anaheim, 9, @,  New York Yankees, 10,     Boxscore,
, New York Mets, 7, @,  Philadelphia Phillies, 4,     Boxscore,
, Cincinnati Reds, 4, @,  Pittsburgh Pirates, 0,     Boxscore,
,Oakland Athletics, 7, @,  Seattle Mariners, 8,     Boxscore,
,Colorado Rockies, 2, @,  San Francisco Giants, 3,     Boxscore,
,Boston Red Sox, 2, @,  Tampa Bay Rays, 6,     Boxscore,
, Chicago White Sox, 4, @,  Texas Rangers, 3,     Boxscore,
,Baltimore Orioles, 4, @,  Toronto Blue Jays, 8,     Boxscore,
, St. Louis Cardinals, 6, @,  Washington Nationals, 2,     Boxscore,
, Houston Astros, 5, @,  Atlanta Braves, 1,     Boxscore,
,Florida Marlins, 1, @,  Chicago Cubs, 6,     Boxscore,
,Cleveland Indians, 7, @,  Detroit Tigers, 9,     Boxscore,
,San Diego Padres, 1, @,  Los Angeles Dodgers, 2,     Boxscore,
, Arizona D'Backs, 4, @,  Milwaukee Brewers, 1,     Boxscore,
, Kansas City Royals, 10, @,  Minnesota Twins, 7,     Boxscore,
, LA Angels of Anaheim, 8, @,  New York Yankees, 4,     Boxscore,
,New York Mets, 5, @,  Philadelphia Phillies, 6,     Boxscore,
,Cincinnati Reds, 6, @,  Pittsburgh Pirates, 8,     Boxscore,
, Oakland Athletics, 3, @,  Seattle Mariners, 2,     Boxscore,
, Colorado Rockies, 5, @,  San Francisco Giants, 1,     Boxscore,
, Boston Red Sox, 10, @,  Tampa Bay Rays, 6,     Boxscore,
,Chicago White Sox, 6, @,  Texas Rangers, 9,     Boxscore,
,Baltimore Orioles, 4, @,  Toronto Blue Jays, 5,     Boxscore,
,St. Louis Cardinals, 1, @,  Washington Nationals, 6,     Boxscore,
, Houston Astros, 7, @,  Atlanta Braves, 5,     Boxscore,
,Florida Marlins, 4, @,  Chicago Cubs, 6,     Boxscore,
,Cleveland Indians, 1, @,  Detroit Tigers, 3,     Boxscore,
,San Diego Padres, 3, @,  Los Angeles Dodgers, 7,     Boxscore,
,Arizona D'Backs, 3, @,  Milwaukee Brewers, 4,     Boxscore,
, Kansas City Royals, 7, @,  Minnesota Twins, 5,     Boxscore,
, Cincinnati Reds, 5, @,  Pittsburgh Pirates, 0,     Boxscore,
,Oakland Athletics, 7, @,  Seattle Mariners, 8,     Boxscore,
,Colorado Rockies, 0, @,  San Francisco Giants, 1,     Boxscore,
,Boston Red Sox, 3, @,  Tampa Bay Rays, 5,     Boxscore,
,Chicago White Sox, 1, @,  Texas Rangers, 5,     Boxscore,
,Baltimore Orioles, 3, @,  Toronto Blue Jays, 4,     Boxscore,
, New York Mets, 6, @,  Atlanta Braves, 4,     Boxscore,
,San Francisco Giants, 2, @,  Chicago Cubs, 4,     Boxscore,
, Minnesota Twins, 7, @,  Detroit Tigers, 2,     Boxscore,
,Cincinnati Reds, 2, @,  Florida Marlins, 3,     Boxscore,
,Chicago White Sox, 0, @,  Kansas City Royals, 3,     Boxscore,
,Arizona D'Backs, 2, @,  Los Angeles Dodgers, 7,     Boxscore,
, Boston Red Sox, 6, @,  New York Yankees, 4,     Boxscore,
, LA Angels of Anaheim, 5, @,  Oakland Athletics, 2,     Boxscore,
, Milwaukee Brewers, 7, @,  Pittsburgh Pirates, 4,     Boxscore,
, Colorado Rockies, 9, @,  San Diego Padres, 6,     Boxscore,
, Texas Rangers, 6, @,  Seattle Mariners, 5,     Boxscore,
, Philadelphia Phillies, 6, @,  St. Louis Cardinals, 1,     Boxscore,
, Baltimore Orioles, 8, @,  Tampa Bay Rays, 4,     Boxscore,
, Cleveland Indians, 9, @,  Toronto Blue Jays, 7,     Boxscore,
,Houston Astros, 4, @,  Washington Nationals, 9,     Boxscore,
