, LA Angels of Anaheim, 7, @,  Chicago White Sox, 2,     Boxscore,
,Pittsburgh Pirates, 2, @,  Cincinnati Reds, 11,     Boxscore,
,Baltimore Orioles, 3, @,  Cleveland Indians, 8,     Boxscore,
, Chicago Cubs, 8, @,  Colorado Rockies, 3,     Boxscore,
,San Diego Padres, 3, @,  Houston Astros, 5,     Boxscore,
,Seattle Mariners, 0, @,  Kansas City Royals, 7,     Boxscore,
, St. Louis Cardinals, 9, @,  Los Angeles Dodgers, 2,     Boxscore,
,Texas Rangers, 2, @,  New York Yankees, 5,     Boxscore,
,Detroit Tigers, 2, @,  Oakland Athletics, 6,     Boxscore,
,Minnesota Twins, 3, @,  Tampa Bay Rays, 4,     Boxscore,
,San Francisco Giants, 5, @,  Arizona D'Backs, 6,     Boxscore,
, New York Mets, 3, @,  Atlanta Braves, 2,     Boxscore,
,Toronto Blue Jays, 1, @,  Boston Red Sox, 8,     Boxscore,
, LA Angels of Anaheim, 4, @,  Chicago White Sox, 2,     Boxscore,
, Pittsburgh Pirates, 7, @,  Cincinnati Reds, 6,     Boxscore,
,Baltimore Orioles, 2, @,  Cleveland Indians, 4,     Boxscore,
,Chicago Cubs, 5, @,  Colorado Rockies, 9,     Boxscore,
, San Diego Padres, 8, @,  Houston Astros, 6,     Boxscore,
, Seattle Mariners, 3, @,  Kansas City Royals, 2,     Boxscore,
,St. Louis Cardinals, 1, @,  Los Angeles Dodgers, 2,     Boxscore,
,Texas Rangers, 5, @,  New York Yankees, 6,     Boxscore,
,Detroit Tigers, 1, @,  Oakland Athletics, 5,     Boxscore,
,Florida Marlins, 2, @,  Philadelphia Phillies, 3,     Boxscore,
, Minnesota Twins, 4, @,  Tampa Bay Rays, 2,     Boxscore,
,Milwaukee Brewers, 4, @,  Washington Nationals, 8,     Boxscore,
,Milwaukee Brewers, 1, @,  Washington Nationals, 5,     Boxscore,
, Minnesota Twins, 5, @,  Baltimore Orioles, 3,     Boxscore,
,Toronto Blue Jays, 1, @,  Boston Red Sox, 9,     Boxscore,
,San Diego Padres, 0, @,  Chicago Cubs, 1,     Boxscore,
, Pittsburgh Pirates, 9, @,  Cincinnati Reds, 3,     Boxscore,
, San Francisco Giants, 8, @,  Colorado Rockies, 1,     Boxscore,
, Cleveland Indians, 7, @,  Kansas City Royals, 3,     Boxscore,
,Atlanta Braves, 2, @,  Los Angeles Dodgers, 4,     Boxscore,
, Milwaukee Brewers, 6, @,  Philadelphia Phillies, 3,     Boxscore,
, Detroit Tigers, 8, @,  Seattle Mariners, 3,     Boxscore,
,Chicago White Sox, 0, @,  Tampa Bay Rays, 5,     Boxscore,
,LA Angels of Anaheim, 1, @,  Texas Rangers, 7,     Boxscore,
,Minnesota Twins, 0, @,  Baltimore Orioles, 11,     Boxscore,
, Arizona D'Backs, 5, @,  Cincinnati Reds, 4,     Boxscore,
, San Francisco Giants, 6, @,  Colorado Rockies, 3,     Boxscore,
,Pittsburgh Pirates, 0, @,  Florida Marlins, 6,     Boxscore,
,Cleveland Indians, 4, @,  Kansas City Royals, 5,     Boxscore,
, Atlanta Braves, 10, @,  Los Angeles Dodgers, 1,     Boxscore,
