, Los Angeles Dodgers, 4, @,  Colorado Rockies, 1,     Boxscore,
, Cleveland Indians, 10, @,  Detroit Tigers, 1,     Boxscore,
,Boston Red Sox, 3, @,  Houston Astros, 8,     Boxscore,
, Baltimore Orioles, 8, @,  Kansas City Royals, 3,     Boxscore,
, Philadelphia Phillies, 10, @,  Milwaukee Brewers, 6,     Boxscore,
,Tampa Bay Rays, 2, @,  New York Yankees, 3,     Boxscore,
, St. Louis Cardinals, 11, @,  San Diego Padres, 2,     Boxscore,
,Miami Marlins, 2, @,  San Francisco Giants, 7,     Boxscore,
,Oakland Athletics, 3, @,  Toronto Blue Jays, 9,     Boxscore,
,Minnesota Twins, 0, @,  Washington Nationals, 2,     Boxscore,
, Seattle Mariners, 9, @,  LA Angels of Anaheim, 4,     Boxscore,
, Pittsburgh Pirates, 12, @,  Arizona D'Backs, 10,     Boxscore,
, New York Mets, 3, @,  Atlanta Braves, 2,     Boxscore,
,Texas Rangers, 1, @,  Chicago White Sox, 4,     Boxscore,
, Chicago Cubs, 9, @,  Cincinnati Reds, 0,     Boxscore,
, Los Angeles Dodgers, 12, @,  Colorado Rockies, 10,     Boxscore,
, Cleveland Indians, 6, @,  Detroit Tigers, 3,     Boxscore,
, Boston Red Sox, 7, @,  Houston Astros, 5,     Boxscore,
,Baltimore Orioles, 1, @,  Kansas City Royals, 6,     Boxscore,
,Philadelphia Phillies, 5, @,  Milwaukee Brewers, 8,     Boxscore,
, Tampa Bay Rays, 8, @,  New York Yankees, 1,     Boxscore,
, St. Louis Cardinals, 8, @,  San Diego Padres, 5,     Boxscore,
, Miami Marlins, 5, @,  San Francisco Giants, 4,     Boxscore,
,Oakland Athletics, 3, @,  Toronto Blue Jays, 6,     Boxscore,
,Minnesota Twins, 5, @,  Washington Nationals, 6,     Boxscore,
,Kansas City Royals, 1, @,  LA Angels of Anaheim, 6,     Boxscore,
,St. Louis Cardinals, 7, @,  Arizona D'Backs, 12,     Boxscore,
, Boston Red Sox, 1, @,  Atlanta Braves, 0,     Boxscore,
, Pittsburgh Pirates, 6, @,  Colorado Rockies, 1,     Boxscore,
,Oakland Athletics, 3, @,  Detroit Tigers, 7,     Boxscore,
, Miami Marlins, 3, @,  Los Angeles Dodgers, 2,     Boxscore,
,Cleveland Indians, 3, @,  Minnesota Twins, 4,     Boxscore,
,Cincinnati Reds, 3, @,  New York Mets, 5,     Boxscore,
,Houston Astros, 2, @,  Seattle Mariners, 3,     Boxscore,
,San Diego Padres, 4, @,  San Francisco Giants, 5,     Boxscore,
,Baltimore Orioles, 0, @,  Tampa Bay Rays, 2,     Boxscore,
, New York Yankees, 3, @,  Texas Rangers, 1,     Boxscore,
, Chicago White Sox, 7, @,  Toronto Blue Jays, 5,     Boxscore,
,Kansas City Royals, 4, @,  LA Angels of Anaheim, 9,     Boxscore,
, St. Louis Cardinals, 8, @,  Arizona D'Backs, 2,     Boxscore,
, Boston Red Sox, 11, @,  Atlanta Braves, 4,     Boxscore,
,Milwaukee Brewers, 3, @,  Chicago Cubs, 4,     Boxscore,
, Pittsburgh Pirates, 9, @,  Colorado Rockies, 4,     Boxscore,
, Oakland Athletics, 5, @,  Detroit Tigers, 1,     Boxscore,
, Miami Marlins, 6, @,  Los Angeles Dodgers, 3,     Boxscore,
,Cleveland Indians, 5, @,  Minnesota Twins, 6,     Boxscore,
,Cincinnati Reds, 3, @,  New York Mets, 4,     Boxscore,
