, Minnesota Twins, 5, @,  Tampa Bay Rays, 4,     Boxscore,
,Miami Marlins, 0, @,  Washington Nationals, 2,     Boxscore,
,Baltimore Orioles, 3, @,  LA Angels of Anaheim, 6,     Boxscore,
, Atlanta Braves, 3, @,  Arizona D'Backs, 2,     Boxscore,
, New York Yankees, 15, @,  Boston Red Sox, 9,     Boxscore,
,Cincinnati Reds, 1, @,  Chicago Cubs, 6,     Boxscore,
, Texas Rangers, 10, @,  Detroit Tigers, 4,     Boxscore,
,Texas Rangers, 2, @,  Detroit Tigers, 3,     Boxscore,
, Los Angeles Dodgers, 5, @,  Houston Astros, 1,     Boxscore,
, Toronto Blue Jays, 9, @,  Kansas City Royals, 5,     Boxscore,
,Colorado Rockies, 4, @,  Milwaukee Brewers, 9,     Boxscore,
,San Francisco Giants, 4, @,  New York Mets, 5,     Boxscore,
, Cleveland Indians, 5, @,  Oakland Athletics, 1,     Boxscore,
,St. Louis Cardinals, 0, @,  Pittsburgh Pirates, 2,     Boxscore,
,Philadelphia Phillies, 1, @,  San Diego Padres, 5,     Boxscore,
, Chicago White Sox, 4, @,  Seattle Mariners, 0,     Boxscore,
,Minnesota Twins, 1, @,  Tampa Bay Rays, 4,     Boxscore,
,Miami Marlins, 2, @,  Washington Nationals, 3,     Boxscore,
, Baltimore Orioles, 3, @,  LA Angels of Anaheim, 2,     Boxscore,
,Atlanta Braves, 4, @,  Arizona D'Backs, 6,     Boxscore,
, Cincinnati Reds, 4, @,  Chicago Cubs, 3,     Boxscore,
, Texas Rangers, 3, @,  Detroit Tigers, 2,     Boxscore,
,Los Angeles Dodgers, 0, @,  Houston Astros, 12,     Boxscore,
, Toronto Blue Jays, 5, @,  Kansas City Royals, 3,     Boxscore,
, Colorado Rockies, 4, @,  Milwaukee Brewers, 1,     Boxscore,
,Cleveland Indians, 1, @,  Oakland Athletics, 5,     Boxscore,
, St. Louis Cardinals, 5, @,  Pittsburgh Pirates, 1,     Boxscore,
,Philadelphia Phillies, 1, @,  San Diego Padres, 6,     Boxscore,
, Chicago White Sox, 7, @,  Seattle Mariners, 4,     Boxscore,
,Minnesota Twins, 2, @,  Tampa Bay Rays, 6,     Boxscore,
,Philadelphia Phillies, 5, @,  Arizona D'Backs, 9,     Boxscore,
,St. Louis Cardinals, 2, @,  Chicago Cubs, 3,     Boxscore,
, Toronto Blue Jays, 4, @,  Kansas City Royals, 1,     Boxscore,
,Atlanta Braves, 2, @,  Los Angeles Dodgers, 7,     Boxscore,
,Houston Astros, 5, @,  Milwaukee Brewers, 6,     Boxscore,
, Boston Red Sox, 6, @,  Minnesota Twins, 5,     Boxscore,
, San Francisco Giants, 6, @,  New York Mets, 1,     Boxscore,
, San Francisco Giants, 7, @,  New York Mets, 2,     Boxscore,
, Chicago White Sox, 4, @,  Oakland Athletics, 0,     Boxscore,
, New York Yankees, 7, @,  Texas Rangers, 4,     Boxscore,
, Philadelphia Phillies, 8, @,  Arizona D'Backs, 5,     Boxscore,
,Toronto Blue Jays, 1, @,  Baltimore Orioles, 2,     Boxscore,
,St. Louis Cardinals, 2, @,  Chicago Cubs, 3,     Boxscore,
,San Francisco Giants, 2, @,  Cincinnati Reds, 9,     Boxscore,
,Kansas City Royals, 3, @,  Cleveland Indians, 4,     Boxscore,
, Seattle Mariners, 7, @,  Detroit Tigers, 4,     Boxscore,
, Atlanta Braves, 4, @,  Los Angeles Dodgers, 3,     Boxscore,
,Houston Astros, 6, @,  Milwaukee Brewers, 9,     Boxscore,
, Boston Red Sox, 11, @,  Minnesota Twins, 2,     Boxscore,
,Miami Marlins, 1, @,  New York Mets, 2,     Boxscore,
,Chicago White Sox, 0, @,  Oakland Athletics, 2,     Boxscore,
,Colorado Rockies, 4, @,  Pittsburgh Pirates, 5,     Boxscore,
, Washington Nationals, 3, @,  San Diego Padres, 1,     Boxscore,
,LA Angels of Anaheim, 0, @,  Tampa Bay Rays, 5,     Boxscore,
,New York Yankees, 0, @,  Texas Rangers, 2,     Boxscore,
, Philadelphia Phillies, 7, @,  Arizona D'Backs, 2,     Boxscore,
,Toronto Blue Jays, 0, @,  Baltimore Orioles, 3,     Boxscore,
, St. Louis Cardinals, 5, @,  Chicago Cubs, 1,     Boxscore,
,San Francisco Giants, 2, @,  Cincinnati Reds, 4,     Boxscore,
, Kansas City Royals, 8, @,  Cleveland Indians, 2,     Boxscore,
, Seattle Mariners, 9, @,  Detroit Tigers, 1,     Boxscore,
, Atlanta Braves, 4, @,  Los Angeles Dodgers, 2,     Boxscore,
, Houston Astros, 7, @,  Milwaukee Brewers, 5,     Boxscore,
, Boston Red Sox, 7, @,  Minnesota Twins, 6,     Boxscore,
,Miami Marlins, 1, @,  New York Mets, 5,     Boxscore,
,Chicago White Sox, 4, @,  Oakland Athletics, 5,     Boxscore,
, Colorado Rockies, 2, @,  Pittsburgh Pirates, 1,     Boxscore,
,Colorado Rockies, 1, @,  Pittsburgh Pirates, 5,     Boxscore,
, Washington Nationals, 7, @,  San Diego Padres, 2,     Boxscore,
