,Minnesota Twins, 3, @,  Kansas City Royals, 4,     Boxscore,
,Arizona D'Backs, 0, @,  Montreal Expos, 4,     Boxscore,
, Houston Astros, 6, @,  New York Mets, 2,     Boxscore,
,Detroit Tigers, 5, @,  Oakland Athletics, 6,     Boxscore,
,Colorado Rockies, 2, @,  Philadelphia Phillies, 5,     Boxscore,
,San Francisco Giants, 2, @,  Pittsburgh Pirates, 5,     Boxscore,
,Cleveland Indians, 5, @,  Seattle Mariners, 8,     Boxscore,
,Toronto Blue Jays, 3, @,  Tampa Bay Devil Rays, 4,     Boxscore,
, Boston Red Sox, 5, @,  Texas Rangers, 4,     Boxscore,
, New York Yankees, 9, @,  Anaheim Angels, 2,     Boxscore,
,St. Louis Cardinals, 2, @,  Atlanta Braves, 4,     Boxscore,
,Chicago White Sox, 1, @,  Baltimore Orioles, 7,     Boxscore,
, San Diego Padres, 2, @,  Chicago Cubs, 0,     Boxscore,
,Los Angeles Dodgers, 0, @,  Cincinnati Reds, 3,     Boxscore,
,Milwaukee Brewers, 4, @,  Florida Marlins, 5,     Boxscore,
, Arizona D'Backs, 6, @,  Montreal Expos, 2,     Boxscore,
,Houston Astros, 2, @,  New York Mets, 4,     Boxscore,
, Detroit Tigers, 4, @,  Oakland Athletics, 1,     Boxscore,
,Colorado Rockies, 4, @,  Philadelphia Phillies, 6,     Boxscore,
, San Francisco Giants, 4, @,  Pittsburgh Pirates, 3,     Boxscore,
,Cleveland Indians, 0, @,  Seattle Mariners, 4,     Boxscore,
,Toronto Blue Jays, 3, @,  Tampa Bay Devil Rays, 4,     Boxscore,
,Boston Red Sox, 1, @,  Texas Rangers, 6,     Boxscore,
,New York Yankees, 2, @,  Anaheim Angels, 6,     Boxscore,
,St. Louis Cardinals, 3, @,  Atlanta Braves, 4,     Boxscore,
,Chicago White Sox, 4, @,  Baltimore Orioles, 5,     Boxscore,
, San Diego Padres, 2, @,  Chicago Cubs, 1,     Boxscore,
,Los Angeles Dodgers, 2, @,  Cincinnati Reds, 3,     Boxscore,
,Milwaukee Brewers, 2, @,  Florida Marlins, 4,     Boxscore,
,Minnesota Twins, 1, @,  Kansas City Royals, 2,     Boxscore,
,Arizona D'Backs, 0, @,  Montreal Expos, 1,     Boxscore,
,Houston Astros, 4, @,  New York Mets, 7,     Boxscore,
,Detroit Tigers, 0, @,  Oakland Athletics, 2,     Boxscore,
,Colorado Rockies, 1, @,  Philadelphia Phillies, 9,     Boxscore,
, San Francisco Giants, 3, @,  Pittsburgh Pirates, 1,     Boxscore,
,Cleveland Indians, 2, @,  Seattle Mariners, 4,     Boxscore,
, Toronto Blue Jays, 5, @,  Tampa Bay Devil Rays, 3,     Boxscore,
,Boston Red Sox, 5, @,  Texas Rangers, 16,     Boxscore,
, Boston Red Sox, 5, @,  Anaheim Angels, 2,     Boxscore,
, Milwaukee Brewers, 12, @,  Atlanta Braves, 5,     Boxscore,
, Minnesota Twins, 6, @,  Chicago White Sox, 1,     Boxscore,
, San Diego Padres, 7, @,  Cincinnati Reds, 3,     Boxscore,
, Chicago Cubs, 11, @,  Colorado Rockies, 7,     Boxscore,
, St. Louis Cardinals, 9, @,  Florida Marlins, 2,     Boxscore,
,Houston Astros, 2, @,  Montreal Expos, 10,     Boxscore,
,Arizona D'Backs, 3, @,  New York Mets, 4,     Boxscore,
,Cleveland Indians, 2, @,  Oakland Athletics, 5,     Boxscore,
, San Francisco Giants, 7, @,  Philadelphia Phillies, 4,     Boxscore,
, Los Angeles Dodgers, 5, @,  Pittsburgh Pirates, 2,     Boxscore,
,Detroit Tigers, 0, @,  Seattle Mariners, 6,     Boxscore,
,Baltimore Orioles, 1, @,  Tampa Bay Devil Rays, 2,     Boxscore,
, New York Yankees, 3, @,  Texas Rangers, 2,     Boxscore,
,Kansas City Royals, 5, @,  Toronto Blue Jays, 6,     Boxscore,
,Boston Red Sox, 1, @,  Anaheim Angels, 3,     Boxscore,
,Milwaukee Brewers, 2, @,  Atlanta Braves, 3,     Boxscore,
,Minnesota Twins, 4, @,  Chicago White Sox, 7,     Boxscore,
,San Diego Padres, 6, @,  Cincinnati Reds, 7,     Boxscore,
,Chicago Cubs, 5, @,  Colorado Rockies, 8,     Boxscore,
,St. Louis Cardinals, 3, @,  Florida Marlins, 5,     Boxscore,
,Houston Astros, 2, @,  Montreal Expos, 3,     Boxscore,
,Cleveland Indians, 3, @,  Oakland Athletics, 6,     Boxscore,
,San Francisco Giants, 2, @,  Philadelphia Phillies, 10,     Boxscore,
, Los Angeles Dodgers, 4, @,  Pittsburgh Pirates, 3,     Boxscore,
, Detroit Tigers, 6, @,  Seattle Mariners, 4,     Boxscore,
,Baltimore Orioles, 7, @,  Tampa Bay Devil Rays, 10,     Boxscore,
, New York Yankees, 7, @,  Texas Rangers, 5,     Boxscore,
