, Tampa Bay Devil Rays, 5, @,  Oakland Athletics, 3,     Boxscore,
,Florida Marlins, 1, @,  Philadelphia Phillies, 6,     Boxscore,
, Cincinnati Reds, 9, @,  Pittsburgh Pirates, 5,     Boxscore,
, Los Angeles Dodgers, 5, @,  San Diego Padres, 4,     Boxscore,
,Kansas City Royals, 1, @,  Seattle Mariners, 5,     Boxscore,
,Texas Rangers, 3, @,  Toronto Blue Jays, 7,     Boxscore,
, New York Mets, 1, @,  Washington Nationals, 0,     Boxscore,
,Philadelphia Phillies, 2, @,  Atlanta Braves, 5,     Boxscore,
,Baltimore Orioles, 4, @,  Detroit Tigers, 8,     Boxscore,
, LA Angels of Anaheim, 3, @,  Kansas City Royals, 1,     Boxscore,
, Arizona D'Backs, 9, @,  Los Angeles Dodgers, 1,     Boxscore,
,St. Louis Cardinals, 1, @,  Milwaukee Brewers, 7,     Boxscore,
, Florida Marlins, 9, @,  New York Mets, 6,     Boxscore,
,Chicago Cubs, 2, @,  Pittsburgh Pirates, 3,     Boxscore,
, Washington Nationals, 3, @,  San Diego Padres, 2,     Boxscore,
,Colorado Rockies, 5, @,  San Francisco Giants, 9,     Boxscore,
,Texas Rangers, 1, @,  Toronto Blue Jays, 6,     Boxscore,
, Philadelphia Phillies, 6, @,  Atlanta Braves, 4,     Boxscore,
, Oakland Athletics, 5, @,  Boston Red Sox, 4,     Boxscore,
,Toronto Blue Jays, 4, @,  Cleveland Indians, 12,     Boxscore,
,Baltimore Orioles, 4, @,  Detroit Tigers, 5,     Boxscore,
, Cincinnati Reds, 11, @,  Houston Astros, 2,     Boxscore,
, LA Angels of Anaheim, 7, @,  Kansas City Royals, 5,     Boxscore,
,Arizona D'Backs, 1, @,  Los Angeles Dodgers, 2,     Boxscore,
,St. Louis Cardinals, 2, @,  Milwaukee Brewers, 12,     Boxscore,
