,St. Louis Cardinals, 3, @,  Houston Astros, 4,     Boxscore,
,Toronto Blue Jays, 1, @,  Kansas City Royals, 5,     Boxscore,
, San Diego Padres, 7, @,  Los Angeles Dodgers, 6,     Boxscore,
,Boston Red Sox, 3, @,  New York Yankees, 4,     Boxscore,
,Atlanta Braves, 2, @,  Philadelphia Phillies, 3,     Boxscore,
,Chicago Cubs, 3, @,  Pittsburgh Pirates, 4,     Boxscore,
,Anaheim Angels, 0, @,  Seattle Mariners, 5,     Boxscore,
,Milwaukee Brewers, 4, @,  San Francisco Giants, 6,     Boxscore,
, Baltimore Orioles, 10, @,  Tampa Bay Devil Rays, 8,     Boxscore,
,Oakland Athletics, 2, @,  Texas Rangers, 11,     Boxscore,
,Florida Marlins, 0, @,  Arizona D'Backs, 9,     Boxscore,
, Atlanta Braves, 9, @,  Houston Astros, 7,     Boxscore,
, Philadelphia Phillies, 5, @,  San Diego Padres, 3,     Boxscore,
,Florida Marlins, 8, @,  Arizona D'Backs, 9,     Boxscore,
,Minnesota Twins, 4, @,  Boston Red Sox, 9,     Boxscore,
, Oakland Athletics, 6, @,  Chicago White Sox, 4,     Boxscore,
, Anaheim Angels, 7, @,  Cleveland Indians, 2,     Boxscore,
,Chicago Cubs, 1, @,  Colorado Rockies, 14,     Boxscore,
, Baltimore Orioles, 8, @,  Detroit Tigers, 3,     Boxscore,
,Atlanta Braves, 6, @,  Houston Astros, 11,     Boxscore,
, Pittsburgh Pirates, 5, @,  Los Angeles Dodgers, 1,     Boxscore,
,New York Mets, 4, @,  Milwaukee Brewers, 6,     Boxscore,
, Seattle Mariners, 7, @,  New York Yankees, 5,     Boxscore,
, Philadelphia Phillies, 12, @,  San Diego Padres, 7,     Boxscore,
, Cincinnati Reds, 9, @,  San Francisco Giants, 5,     Boxscore,
,Montreal Expos, 2, @,  St. Louis Cardinals, 7,     Boxscore,
,Kansas City Royals, 2, @,  Tampa Bay Devil Rays, 4,     Boxscore,
,Texas Rangers, 5, @,  Toronto Blue Jays, 7,     Boxscore,
,Florida Marlins, 7, @,  Arizona D'Backs, 10,     Boxscore,
, Minnesota Twins, 6, @,  Boston Red Sox, 4,     Boxscore,
,Oakland Athletics, 1, @,  Chicago White Sox, 2,     Boxscore,
, Anaheim Angels, 3, @,  Cleveland Indians, 1,     Boxscore,
,Chicago Cubs, 5, @,  Colorado Rockies, 6,     Boxscore,
, Baltimore Orioles, 6, @,  Detroit Tigers, 4,     Boxscore,
, Atlanta Braves, 11, @,  Houston Astros, 3,     Boxscore,
,Pittsburgh Pirates, 5, @,  Los Angeles Dodgers, 6,     Boxscore,
,New York Mets, 2, @,  Milwaukee Brewers, 7,     Boxscore,
, Seattle Mariners, 7, @,  New York Yankees, 5,     Boxscore,
, Philadelphia Phillies, 5, @,  San Diego Padres, 3,     Boxscore,
