, Oakland Athletics, 4, @,  Seattle Mariners, 3,     Boxscore,
,Cincinnati Reds, 1, @,  San Francisco Giants, 3,     Boxscore,
, Houston Astros, 3, @,  St. Louis Cardinals, 2,     Boxscore,
,Boston Red Sox, 4, @,  Tampa Bay Rays, 5,     Boxscore,
,Minnesota Twins, 5, @,  Texas Rangers, 6,     Boxscore,
,Chicago Cubs, 3, @,  Washington Nationals, 5,     Boxscore,
, Baltimore Orioles, 5, @,  Chicago White Sox, 1,     Boxscore,
,Baltimore Orioles, 5, @,  Chicago White Sox, 6,     Boxscore,
,New York Yankees, 3, @,  Cleveland Indians, 4,     Boxscore,
,LA Angels of Anaheim, 4, @,  Detroit Tigers, 6,     Boxscore,
,Toronto Blue Jays, 1, @,  Kansas City Royals, 2,     Boxscore,
,Colorado Rockies, 3, @,  Los Angeles Dodgers, 11,     Boxscore,
,Florida Marlins, 3, @,  Milwaukee Brewers, 4,     Boxscore,
,Atlanta Braves, 3, @,  New York Mets, 4,     Boxscore,
, Philadelphia Phillies, 8, @,  Pittsburgh Pirates, 4,     Boxscore,
,Arizona D'Backs, 7, @,  San Diego Padres, 8,     Boxscore,
,Oakland Athletics, 3, @,  Seattle Mariners, 5,     Boxscore,
, Cincinnati Reds, 10, @,  San Francisco Giants, 9,     Boxscore,
,Houston Astros, 3, @,  St. Louis Cardinals, 4,     Boxscore,
,Boston Red Sox, 1, @,  Tampa Bay Rays, 2,     Boxscore,
, Minnesota Twins, 12, @,  Texas Rangers, 6,     Boxscore,
, Chicago Cubs, 7, @,  Washington Nationals, 0,     Boxscore,
,Baltimore Orioles, 1, @,  Chicago White Sox, 6,     Boxscore,
, New York Yankees, 1, @,  Cleveland Indians, 0,     Boxscore,
, LA Angels of Anaheim, 6, @,  Detroit Tigers, 2,     Boxscore,
, Toronto Blue Jays, 5, @,  Kansas City Royals, 2,     Boxscore,
,Colorado Rockies, 2, @,  Los Angeles Dodgers, 3,     Boxscore,
, Florida Marlins, 3, @,  Milwaukee Brewers, 2,     Boxscore,
,Atlanta Braves, 3, @,  New York Mets, 6,     Boxscore,
,Philadelphia Phillies, 1, @,  Pittsburgh Pirates, 5,     Boxscore,
, Arizona D'Backs, 2, @,  San Diego Padres, 1,     Boxscore,
, Oakland Athletics, 4, @,  Seattle Mariners, 2,     Boxscore,
, Cincinnati Reds, 10, @,  San Francisco Giants, 1,     Boxscore,
,Houston Astros, 1, @,  St. Louis Cardinals, 5,     Boxscore,
,Boston Red Sox, 0, @,  Tampa Bay Rays, 3,     Boxscore,
,Minnesota Twins, 0, @,  Texas Rangers, 10,     Boxscore,
